FLIGHT DATA
T,Period(ms), T(degC), P(Pa), a-X(g), a-Y(g), a-Z(g), w-X (deg/s), w-Y (deg/s), w-Z (deg/s), Angle-X (deg), Angle-Y(deg)
59545,102,23.61,74349.28,-0.01,-0.03,1.02,17.16,13.57,-0.54,2.24,-2.18
59603,58,23.61,74349.10,-0.06,0.01,1.06,0.30,-1.36,11.51,2.14,-1.65
59674,71,23.61,74349.10,-0.02,-0.04,1.02,5.97,0.90,16.31,2.06,-1.32
59746,72,23.61,74348.93,0.03,-0.03,0.96,7.73,9.67,1.65,2.15,-0.87
59816,70,23.61,74349.40,0.01,0.02,1.00,9.33,5.11,-3.66,2.65,-0.51
59890,74,23.61,74349.75,0.03,0.03,0.98,1.39,21.62,-9.65,2.72,0.69
59955,65,23.61,74349.61,0.19,-0.02,0.86,-3.09,123.78,-27.08,2.20,6.15
60029,74,23.61,74349.61,-0.36,-0.01,0.69,-8.91,370.22,-70.54,1.34,31.48
60104,75,23.61,74349.44,-1.13,-0.00,0.83,-9.49,89.62,15.15,0.44,40.12
60178,74,23.61,74349.28,-0.75,-0.03,0.72,2.32,-26.78,19.04,0.56,39.08
60252,74,23.61,74349.61,-0.95,-0.00,1.03,-25.04,-357.59,21.37,-1.14,17.13
60330,78,23.61,74349.28,0.05,-0.00,0.78,16.57,-217.58,1.98,0.06,0.42
60425,95,23.61,74349.28,0.00,0.02,0.90,14.16,40.66,-3.60,1.43,3.57
60478,53,23.61,74349.40,-0.11,0.04,1.00,2.21,7.47,-7.35,1.64,4.25
60548,70,23.61,74349.57,-0.40,0.03,1.35,8.70,-209.18,15.57,1.92,-6.27
60622,74,23.61,74350.07,0.48,0.09,0.79,38.41,-328.72,17.76,4.56,-29.96
60696,74,23.61,74350.42,0.87,0.18,0.34,39.31,-159.62,-10.16,7.79,-43.75
60772,76,23.61,74350.76,0.74,0.12,0.52,-9.40,49.65,3.66,7.25,-41.67
60844,72,23.61,74351.26,0.77,0.03,0.43,-11.53,302.82,-29.36,6.04,-25.50
61030,186,23.61,74350.79,-0.09,0.03,1.05,-9.82,33.48,27.55,3.87,-16.18
61293,263,23.60,74350.25,0.10,0.10,1.04,68.21,-130.69,-19.03,17.84,-40.70
61354,61,23.60,74350.25,0.07,0.17,1.19,171.13,44.59,-35.69,23.92,-32.43
61429,75,23.60,74350.25,0.00,0.40,0.87,181.11,-32.29,-15.12,34.76,-29.35
61506,77,23.60,74350.07,0.06,0.52,0.86,74.07,3.75,-10.40,38.88,-25.48
61580,74,23.60,74349.73,-0.00,0.66,0.77,61.39,7.11,-7.67,42.91,-22.01
61654,74,23.60,74349.39,-0.07,1.00,0.67,-17.75,-52.41,8.33,43.83,-22.01
61736,82,23.60,74349.06,0.03,0.66,0.58,-259.41,-16.24,20.70,27.26,-20.62
61807,71,23.60,74348.71,0.10,0.23,0.47,-336.20,-1.56,53.87,7.08,-19.83
61882,75,23.60,74348.82,-0.04,-0.52,0.98,-304.05,100.31,75.40,-16.50,-11.04
61962,80,23.60,74348.82,-0.02,-0.67,1.26,43.21,-42.55,20.70,-15.67,-12.36
62040,78,23.60,74348.65,-0.03,-0.47,1.33,243.18,23.56,7.76,-0.60,-9.40
62115,75,23.61,74348.93,0.01,-0.02,0.95,375.71,-53.19,-38.19,22.43,-12.76
62193,78,23.61,74349.10,0.10,0.82,0.68,219.92,-53.64,-4.85,39.81,-15.59
62274,81,23.61,74349.57,0.11,0.80,0.27,83.12,-40.15,-34.10,48.88,-17.67
62345,71,23.61,74349.40,-0.07,0.90,0.36,-203.54,-2.59,48.52,39.26,-15.89
62422,77,23.61,74349.57,0.19,0.51,0.66,-391.27,-4.97,61.21,13.10,-16.01
62497,75,23.61,74349.57,-0.05,-0.46,0.63,-418.83,98.88,77.47,-19.01,-7.84
62580,83,23.61,74349.85,0.04,-0.96,1.33,-71.53,36.62,18.14,-26.23,-4.30
62651,71,23.61,74349.85,0.02,-0.80,1.05,215.87,-39.76,-61.04,-15.04,-6.23
62730,79,23.61,74349.68,0.15,-0.13,1.01,404.68,-31.54,-65.84,12.36,-8.70
62812,82,23.61,74349.68,0.17,0.55,0.61,354.54,-84.07,-34.44,40.46,-15.19
62884,72,23.61,74349.51,0.27,0.71,0.46,142.07,-5.15,-31.66,50.48,-15.99
62959,75,23.61,74349.34,-0.01,0.89,0.36,-117.57,-5.17,-19.71,45.12,-14.71
63037,78,23.61,74349.34,-0.02,0.73,0.65,-333.91,15.64,35.20,23.51,-12.18
63114,77,23.61,74349.23,0.08,-0.05,0.75,-457.80,30.25,91.05,-9.20,-9.40
63191,77,23.61,74349.40,0.11,-0.60,1.01,-245.83,64.55,69.06,-27.92,-4.75
63268,77,23.61,74349.40,-0.02,-0.87,0.72,-26.76,-19.28,4.21,-32.25,-5.46
63350,82,23.61,74349.75,-0.03,-0.49,0.95,348.99,25.89,-10.38,-7.80,-2.69
63421,71,23.61,74349.75,-0.01,0.01,1.28,322.19,-125.34,2.64,12.19,-9.62
63497,76,23.61,74349.91,0.14,0.32,0.63,54.75,-51.62,-5.75,17.72,-13.62
63572,75,23.61,74350.35,0.23,0.26,0.94,-67.08,14.56,6.18,13.18,-12.61
63645,73,23.61,74350.53,0.17,0.17,0.99,-48.73,-24.25,-10.20,9.87,-13.65
63722,77,23.61,74350.70,0.22,0.09,1.06,-48.35,-240.21,23.20,6.08,-29.02
63827,105,23.61,74350.97,0.73,0.10,0.72,53.08,-151.54,-4.09,10.64,-45.00
63892,65,23.61,74351.14,0.85,0.16,0.52,46.17,-61.49,-18.66,13.10,-49.71
63963,71,23.61,74351.14,0.81,0.26,0.56,-7.34,-25.49,1.85,12.92,-51.53
64037,74,23.62,74351.25,0.81,0.14,0.57,-24.15,9.81,13.02,10.98,-51.05
64110,73,23.62,74351.25,0.79,0.10,0.59,-7.80,29.97,3.17,10.00,-49.33
64183,73,23.62,74351.07,0.77,0.13,0.65,10.38,12.87,5.90,10.39,-48.56
64256,73,23.62,74351.18,0.75,0.13,0.61,-3.31,-0.70,-2.49,9.97,-48.70
64328,72,23.62,74351.49,0.76,0.12,0.63,-8.24,12.70,0.69,9.22,-47.94
